Default/Range-op0;GpuOps;1730294243242874474,414984 1730294243704095626,81.312 1730294243730165553,96 1730294243759042020,78.336 1730294243784779601,80.224 1730294243810380724,72.192 1730294243836051053,76.864 1730294243861720528,73.984 1730294243887601478,76.064 1730294243913008194,75.136 1730294243938690993,76.096 1730294243964131310,69.632 1730294243990009771,78.944 1730294244015501977,74.272 1730294244041225699,78.656 1730294244066870346,78.336 1730294244092502821,77.568 1730294244117971216,74.208 1730294244143463158,75.68 1730294244169243768,72.8 1730294244195737590,78.752 1730294244221517056,82.112 1730294244247276301,78.304 1730294244273219473,79.136 1730294244299143996,80.448 1730294244324642076,72.608 1730294244350416619,74.208 1730294244376207635,74.752 1730294244402025994,91.232 1730294244427781773,80.608 1730294244453596785,75.168 1730294244483931084,82.88 1730294244509773450,79.68 1730294244535112048,74.944 1730294244560960690,91.424 1730294244586719342,87.104 
Default/Cos-op10;GpuOps;1730294243686249090,83.2 1730294243713541809,65.248 1730294243742447161,65.568 1730294243768351625,64.672 1730294243794070143,64.384 1730294243819564885,64.096 1730294243845348807,65.248 1730294243871115932,62.56 1730294243896827609,64.448 1730294243922221321,73.984 1730294243947848017,64.128 1730294243973368312,62.528 1730294243999298733,63.552 1730294244024688292,61.696 1730294244050554321,63.04 1730294244076012092,62.688 1730294244101867892,62.048 1730294244127101987,63.168 1730294244152810518,65.6 1730294244178506942,63.04 1730294244205101893,61.824 1730294244230768954,63.072 1730294244256661293,64.224 1730294244282572135,63.424 1730294244308374857,63.072 1730294244333973976,62.656 1730294244359635852,62.176 1730294244385503627,65.44 1730294244411322920,62.4 1730294244437147078,62.464 1730294244466745697,64.896 1730294244493167445,64.672 1730294244518918328,61.696 1730294244544479947,61.952 1730294244570189851,63.488 1730294244596074462,60.992 
Default/Cast-op1;GpuOps;1730294243660873627,64.576 1730294243704417339,31.904 1730294243730495564,30.368 1730294243759360836,30.304 1730294243785123704,29.312 1730294243810694053,28.768 1730294243836372350,30.752 1730294243862040249,30.112 1730294243887910176,26.144 1730294243913323453,31.744 1730294243938996796,27.36 1730294243964435287,28.864 1730294243990365178,28.16 1730294244015832183,28.672 1730294244041545411,27.936 1730294244067184436,27.456 1730294244092820146,27.648 1730294244118279337,26.752 1730294244143793571,27.744 1730294244169558322,29.696 1730294244196062914,31.04 1730294244221845917,30.464 1730294244247594155,38.88 1730294244273555847,30.304 1730294244299479518,30.432 1730294244324959169,26.08 1730294244350721917,27.04 1730294244376524312,30.688 1730294244402362594,28.928 1730294244428101735,29.76 1730294244453916287,29.024 1730294244484275212,30.144 1730294244510089084,27.616 1730294244535430538,30.976 1730294244561301830,29.12 1730294244587045744,30.944 
Default/Div-op2;GpuOps;1730294243662685637,47.328 1730294243704650333,22.24 1730294243730688494,25.632 1730294243759556981,25.248 1730294243785320070,34.272 1730294243810881230,22.336 1730294243836581279,24.32 1730294243862233740,27.36 1730294243888099447,21.312 1730294243913519605,23.008 1730294243939186960,21.952 1730294243964622468,21.6 1730294243990551201,21.248 1730294244016022989,23.328 1730294244041746655,22.112 1730294244067374162,22.432 1730294244093053757,23.04 1730294244118466257,21.504 1730294244143988715,21.44 1730294244169751358,23.488 1730294244196258777,23.744 1730294244222044725,23.648 1730294244247801109,24.928 1730294244273750813,22.336 1730294244299687360,22.496 1730294244325170029,22.848 1730294244350911635,20.128 1730294244376720969,23.456 1730294244402550826,21.12 1730294244428313398,22.304 1730294244454121021,22.688 1730294244484477893,24.992 1730294244510280044,22.56 1730294244535628583,21.472 1730294244561495438,22.56 1730294244587244584,22.016 
Default/Pow-op3;GpuOps;1730294243664183252,40.352 1730294243704846947,25.216 1730294243730868009,25.6 1730294243759733005,25.12 1730294243785520659,24.448 1730294243811055449,22.72 1730294243836754965,24.608 1730294243862435461,24.48 1730294243888268611,23.328 1730294243913696626,22.816 1730294243939357370,24.32 1730294243964798914,24.544 1730294243990721683,22.24 1730294244016194210,23.488 1730294244041922526,23.904 1730294244067548788,25.472 1730294244093231827,25.024 1730294244118635472,23.52 1730294244144162672,24.256 1730294244169928364,25.696 1730294244196446200,25.792 1730294244222241214,24.384 1730294244247977295,21.824 1730294244273952247,23.424 1730294244299862810,25.856 1730294244325348495,24.48 1730294244351079862,24.224 1730294244376902470,25.216 1730294244402723996,24.832 1730294244428491349,24.864 1730294244454308205,23.616 1730294244484667110,24.736 1730294244510454961,26.752 1730294244535831228,23.872 1730294244561674097,24.224 1730294244587422410,24.544 
Default/Reshape-op7;GpuOps;1730294243670838297,24.736 1730294243706090148,22.784 1730294243732053419,22.336 1730294243760887541,22.016 1730294243786722560,32.768 1730294243812228020,22.208 1730294243837943757,22.624 1730294243863666630,23.168 1730294243889444043,24.288 1730294243914873275,25.376 1730294243940497985,22.88 1730294243965987902,23.616 1730294243991918329,23.456 1730294244017366722,22.24 1730294244043110771,22.592 1730294244068703349,22.528 1730294244094431320,21.856 1730294244119787423,23.232 1730294244145362881,23.264 1730294244171093416,23.072 1730294244197711366,23.36 1730294244223406264,22.112 1730294244249200959,23.456 1730294244275148827,32.608 1730294244301044852,38.528 1730294244326534883,22.72 1730294244352253814,23.456 1730294244378113104,32.416 1730294244403872396,23.008 1730294244429756557,24.512 1730294244455460945,23.136 1730294244485887444,25.152 1730294244511612220,21.888 1730294244537042513,34.56 1730294244562859628,26.176 1730294244588588593,21.824 
Default/Sin-op11;GpuOps;1730294243695108534,70.08 1730294243721283086,65.632 1730294243750230238,66.688 1730294243775953624,76.096 1730294243801694819,64.096 1730294243827245211,66.208 1730294243852989541,82.528 1730294243878826211,66.048 1730294243904334468,63.84 1730294243929912280,65.984 1730294243955433444,63.616 1730294243981146901,66.208 1730294244006846407,65.504 1730294244032408630,66.208 1730294244058172913,74.176 1730294244083752904,65.536 1730294244109330082,64.736 1730294244134731670,66.016 1730294244160415530,65.216 1730294244186253829,66.592 1730294244212784429,65.088 1730294244238534940,64.672 1730294244264321391,67.36 1730294244290340920,65.12 1730294244315980824,64.704 1730294244341723295,65.504 1730294244367364357,65.472 1730294244393251816,65.056 1730294244419042939,67.104 1730294244444750781,81.088 1730294244474835295,69.312 1730294244500961259,66.784 1730294244526378383,64.64 1730294244552178038,63.552 1730294244577900211,65.216 1730294244603804640,64.032 
Default/Div-op4;GpuOps;1730294243665566065,29.696 1730294243705048829,21.568 1730294243731029579,21.344 1730294243759895561,20.032 1730294243785689473,20.16 1730294243811211924,19.872 1730294243836910353,20.96 1730294243862599074,37.728 1730294243888426830,18.88 1730294243913860088,20.672 1730294243939515633,20.16 1730294243964963291,21.536 1730294243990881291,20.576 1730294244016358137,21.824 1730294244042086348,21.44 1730294244067710838,20.352 1730294244093396351,21.728 1730294244118792697,20.64 1730294244144327789,22.112 1730294244170089293,20.256 1730294244196636769,20.288 1730294244222402095,21.44 1730294244248132113,21.28 1730294244274117469,20.96 1730294244300029054,19.392 1730294244325511310,20.8 1730294244351253684,19.68 1730294244377099625,22.208 1730294244402886118,21.184 1730294244428665932,22.08 1730294244454468004,21.248 1730294244484831389,21.056 1730294244510620567,20.352 1730294244535995436,20.8 1730294244561838788,21.792 1730294244587585224,20.896 
Default/Mul-op8;GpuOps;1730294243672127862,98.848 1730294243706340935,78.656 1730294243732261316,78.304 1730294243761119644,80.032 1730294243786924361,79.904 1730294243812430167,78.208 1730294243838157967,78.528 1730294243863872129,79.552 1730294243889655584,80.16 1730294243915087176,79.04 1730294243940699057,80.128 1730294243966206617,79.072 1730294243992126463,78.752 1730294244017573955,79.2 1730294244043318742,77.632 1730294244068913623,77.536 1730294244094639833,78.784 1730294244119995073,78.016 1730294244145575392,78.048 1730294244171303885,79.168 1730294244197923553,77.568 1730294244223609536,79.04 1730294244249414566,78.624 1730294244275370694,78.208 1730294244301271326,77.92 1730294244326737249,77.536 1730294244352464846,79.456 1730294244378326143,77.888 1730294244404076172,78.272 1730294244429973304,78.784 1730294244455666869,78.976 1730294244486101604,90.208 1730294244511819623,79.424 1730294244537265149,79.104 1730294244563084782,79.616 1730294244588795797,78.944 
Default/Range-op5;GpuOps;1730294243667374394,75.552 1730294243705474338,59.264 1730294243731445873,57.408 1730294243760287239,60.224 1730294243786096134,59.04 1730294243811602885,55.136 1730294243837337965,57.376 1730294243863029316,63.232 1730294243888812070,55.872 1730294243914267776,57.984 1730294243939906173,55.552 1730294243965377401,61.312 1730294243991270721,74.336 1730294244016763442,55.744 1730294244042501040,58.016 1730294244068103672,60.256 1730294244093800215,59.008 1730294244119183307,56.096 1730294244144730106,68.416 1730294244170475096,59.968 1730294244197088649,64.416 1730294244222800064,57.952 1730294244248536907,72.576 1730294244274527707,62.848 1730294244300421026,56.864 1730294244325922670,58.592 1730294244351653442,57.984 1730294244377500701,61.344 1730294244403276913,62.56 1730294244429101514,64.992 1730294244454862526,57.568 1730294244485260665,61.28 1730294244511010422,60.576 1730294244536408551,57.632 1730294244562252774,59.072 1730294244587985807,56.384 
