op_type,type_occurrences,total_time(us),total_proportion,avg_time(us)
Cos,36,2313.34,0.00525749,64.2596
Pow,36,893.792,0.0020313,24.8276
Reshape,36,889.952,0.00202258,24.7209
Sin,36,2415.71,0.00549014,67.1031
Div,72,1635.49,0.00371694,22.7151
Mul,36,2867.14,0.00651608,79.6427
Range,72,419916,0.954335,5832.17
Cast,72,2002.08,0.00455009,27.8067
Concat,36,7075.55,0.0160805,196.543
